gene,avg_logFC,p_val_adj,gene_set,scores,p_val
USP54,0.9359823,5.1449669837056855e-11,Other,6.7901363,1.1202750690326895e-11
ALDH1A1,0.93263894,2.082126792524204e-06,Other,4.9432764,7.682040383708251e-07
TEX10,0.9306709,4.988999888191907e-06,Other,4.75892,1.9463134644458346e-06
SUCO,0.9283284,2.4046373345501293e-07,Other,5.373258,7.732654331869871e-08
FAM43A,-0.92467916,0.0024668596773097,Other,-3.1966999,0.0013900953221936
TTC5,0.923491,1.951046495501616e-06,Other,4.9564643,7.178749706230742e-07
COL4A5,0.9227424,8.731057362700034e-08,Other,5.5620103,2.6668451420343848e-08
EDAR,0.91976243,1.5991658560011468e-06,Other,4.9965777,5.835665724520314e-07
MUC16,0.9158551,1.264107421958046e-06,Other,5.045483,4.523771520111959e-07
RABGAP1L,0.91322863,7.105610275685477e-09,Other,6.0032563,1.933986667777297e-09
FGL2,0.911528,0.0007433023475078,Other,3.550576,0.0003843892180156
TCF12,0.911396,1.1991692934030527e-09,Other,6.298886,2.997923233507632e-10
NDE1,0.9104595,1.9126416733123624e-06,Other,4.9608603,7.018160978686491e-07
DLX5,0.9096958,2.882639710843944e-11,Other,6.879979,5.986126818889641e-12
BAG2,0.9037755,5.939772605833664e-07,Other,5.1987925,2.005870789268425e-07
CASQ1,-0.9024904,0.0066943070533577,Other,-2.8722217,0.0040759692139395
LSM2,0.90238404,7.93696861074402e-08,Other,5.5815177,2.384290973792055e-08
IFI6,-0.89762825,6.347315028818985e-07,Other,-5.1847806,2.1626940319967915e-07
SYN2,0.8969049,0.0002269712132751,Other,3.8698337,0.0001089095741118
VWA2,0.89517456,2.0165722582093107e-09,Other,6.213439,5.183729091163046e-10
STC2,-0.8951474,0.0162950847279937,Other,-2.5628548,0.0103815459154153
TIMM17A,0.89281964,1.8921618299946057e-07,Other,5.4205146,5.9427651494978895e-08
CHST2,0.89206463,2.7463374385277197e-12,Other,7.2198434,5.204752403661403e-13
IAH1,0.8893958,6.8247433002008485e-09,Other,6.0104,1.8506612376552702e-09
