gene,scores,avg_logFC,p_val,p_val_adj
CACNG5,5.4578805,1.6869055,4.818514667343265e-08,1.5519371915599088e-07
COLGALT2,5.437824,1.971189,5.393522330086676e-08,1.7315126703708684e-07
ANKZF1,-5.422713,-1.0696384,5.870127038421771e-08,1.8784406522949666e-07
PDE7A,-5.4196906,-0.97989815,5.970228354720884e-08,1.8921618299946057e-07
TIMM17A,5.4205146,0.89281964,5.9427651494978895e-08,1.8921618299946057e-07
ITIH3,5.42024,28.22381,5.9519059220929665e-08,1.8921618299946057e-07
LSM7,5.418866,0.8278091,5.99781451681321e-08,1.8948509556301608e-07
MYH7B,5.4172177,1.7795085,6.053357840500974e-08,1.9063272945323701e-07
NCMAP,5.413646,1.0382466,6.17541669541977e-08,1.9354652199716828e-07
DYNLL2,5.4133716,0.77113116,6.184903979143382e-08,1.9354652199716828e-07
FAM169A,5.3891935,1.5296463,7.077458585019392e-08,2.207810979980892e-07
SUCO,5.373258,0.9283284,7.732654331869871e-08,2.4046373345501293e-07
TACSTD2,5.370785,0.63133186,7.839449616759631e-08,2.4302293811954857e-07
EIF1AX,5.347157,0.9489492,8.934654596158193e-08,2.7611144421772357e-07
IFI27,5.3444095,2.441,9.071231161409105e-08,2.7946153143223084e-07
PI3,5.322979,2.8882666,1.0208150312158874e-07,3.135134708873561e-07
AFAP1L2,-5.317484,-1.9293039,1.0521188504281478e-07,3.221302159335564e-07
CES3,5.304296,1.0144187,1.1310855857653326e-07,3.4524212340898765e-07
HOXA7,-5.303472,-1.1928872,1.1362069744082649e-07,3.457415087769935e-07
GATAD2B,5.286712,0.8103004,1.2453430719962465e-07,3.7779214905818853e-07
CCNO,5.278195,1.3501451,1.3046256672150495e-07,3.945697139869906e-07
LBP,5.2696776,28.258259,1.3666341355733984e-07,4.120671922458393e-07
PLCG2,5.257589,0.85076666,1.4595634947229669e-07,4.387536323530858e-07
COLCA2,5.2515445,1.6012654,1.5082914570678658e-07,4.5203175994299784e-07
RHPN1,-5.240829,-0.8729128,1.5985660336847745e-07,4.776438269323182e-07
TM2D1,5.223245,0.7747415,1.7581421899120543e-07,5.237468625804077e-07
TRIM2,5.212805,0.66637284,1.8600652059718063e-07,5.524505042886323e-07
BAG2,5.1987925,0.9037755,2.0058707892684247e-07,5.939772605833664e-07
IL17RD,5.1949463,1.0188005,2.047790358068951e-07,6.036825700088666e-07
DROSHA,5.1946716,0.8592664,2.050816795292218e-07,6.036825700088666e-07
IFI6,-5.1847806,-0.89762825,2.1626940319967912e-07,6.347315028818985e-07
TNFAIP2,-5.183132,-2.301708,2.181904715243822e-07,6.384806718353603e-07
AKAP12,-5.1729665,-2.0317519,2.3040654739384094e-07,6.722449853373242e-07
