gene,scores,avg_logFC,p_val,p_val_adj
Slc22a6,-1.3142562,-3.9587986,0.18876001758975014,0.25713581002299024
Dlx5,-1.3198227,-1.5953525,0.18689422888151264,0.2550074665177133
Col12a1,-1.3220493,0.07261055,0.18615173985379418,0.25420071055583104
Meig1,-1.3287292,-1.3699371,0.18393735638004016,0.25138105371938824
Fam210b,-1.332069,-0.057656165,0.1828375070303323,0.250284893581424
Kcna4,-1.3476553,-0.39748982,0.17776927782565444,0.24414228433408913
Lamc2,-1.3621283,-0.85701525,0.17315741340195212,0.2385882064989193
Dlx1,-1.4189068,-1.0615854,0.15592619229542604,0.215198628282932
Ccdc152,-1.4222467,-0.6818176,0.15495464465581815,0.21403349027644233
Acly,-1.4344931,-0.23415492,0.1514316093263192,0.20933925598482117
Ddit4l,-1.4411728,-0.37222552,0.14953584699952535,0.206888690375475
Cplx3,-1.4422861,-0.01525644,0.1492216548566237,0.20679439555975632
Dmkn,-1.4523059,-0.42842302,0.14641655923969454,0.20324214375055866
Klhdc8a,-1.4595424,-0.15226178,0.1444158766110295,0.2006306517216038
Cabp7,-1.4606557,-0.51171434,0.1441099478975537,0.20037123442166066
Nr4a2,-1.477912,-0.34661478,0.13943135064979936,0.19402657321383504
Trpc7,-1.4818085,-2.5666404,0.1383912557106537,0.19273877452328822
Efhd1,-1.4829218,-0.09790595,0.13809518641780408,0.19248591075317467
Dusp6,-1.489045,-0.090224795,0.13647552348044,0.19038618669760965
Ass1,-1.4923849,0.04755013,0.13559827171268943,0.18931951391115526
Rgs9,-1.5157644,0.0371386,0.129578963133872,0.18121650335111383
Itih3,-1.517991,-0.4123622,0.129016691362332,0.18058039815160706
Efnb3,-1.5352471,0.10471155,0.12472313605213615,0.17486204479035936
Abi3bp,-1.5369171,-2.4972863,0.12431361519365726,0.17443337824752742
Zfpm2,-1.5397004,-0.201484,0.12363341237825563,0.17362386483529468
Ccdc3,-1.5558432,-0.4462786,0.11974536748131849,0.1685862334473169
Flrt3,-1.5669763,-0.30392963,0.11712022894783311,0.1650285874780448
Actn2,-1.5708729,-0.9171086,0.11621217990088707,0.16388647182331476
Myo1b,-1.5781094,-0.022587242,0.11454048892066362,0.1618004721643996
Prelp,-1.5998188,-0.5425891,0.10963878737155099,0.15526773510663622
Egr2,-1.6103952,-0.37953478,0.10731160948818526,0.15210018174505854
Klf5,-1.6103952,-0.1365448,0.10731160948818526,0.15210018174505854
Thsd7a,-1.6154051,-0.069508955,0.10622300447490528,0.1508115460492532
Mas1,-1.6159617,-0.34075972,0.10610259079780657,0.15076792487837096
Cxadr,-1.628208,0.048604924,0.10348077486914802,0.14716682111255314
Tekt5,-1.6504742,-0.8836193,0.0988459940993936,0.14069442513215974
Oprk1,-1.6627206,-1.387001,0.09636839442532087,0.1372841279906478
Camk1,-1.6838733,-0.29028758,0.09220615738769725,0.13180148857884275
Tac1,-1.697233,-0.12033242,0.08965262681618906,0.12826048142809685
Rasgrp2,-1.7005728,0.025898337,0.08902322221027882,0.12757718374721116
Cpne8,-1.7128192,-0.2677131,0.08674580285189104,0.12452578530660022
Tcerg1l,-1.7222823,-1.8435646,0.08501839050698305,0.12215035422413548
Slc38a2,-1.7250656,-0.33752313,0.08451565604080837,0.12153192284396823
Slc17a6,-1.733972,-0.84968466,0.08292304965485191,0.11934387540223122
Prr18,-1.7506716,0.049100913,0.08000249762814636,0.11533807762685595
Lhx6,-1.7623613,-0.9726611,0.07800827650541352,0.11255958180738208
Ccnd2,-1.7684845,-0.12828697,0.07697994883447073,0.11117121476868153
Ptpro,-1.7734944,-0.34593052,0.07614683139779028,0.11006261700746817
Camk2d,-1.7762775,-0.10045185,0.07568717555650493,0.10958668571101188
Sema5b,-1.7812874,-0.21621278,0.07486550238048219,0.10858404616185552
Chl1,-1.799657,-0.18269864,0.07191481717105802,0.10448470843954065
Fmod,-1.8085635,-2.3580556,0.07051885543653938,0.10254515223946599
Stard8,-1.8352827,-0.3121895,0.0664638080153556,0.0968999664126737
Fos,-1.8408493,-0.18309958,0.06564365217438252,0.09587052937023198
Slc13a3,-1.8675686,-1.1443034,0.0618222308932188,0.09036797402739201
Nrn1l,-1.8714651,-1.9774677,0.06128063799577078,0.08973236277952149
Wfs1,-1.8820416,-0.29573816,0.059830377155020244,0.08776166142896076
Pcdh20,-1.8820416,-1.1027398,0.059830377155020244,0.08776166142896076
Cyp26b1,-1.8898346,-1.0859262,0.05878007616527205,0.08637177275683769
Plppr1,-1.9054209,-0.86588126,0.056725377002096865,0.08342551070912058
Ighm,-1.9115441,-0.22121066,0.05593469477194526,0.08233469519408054
Clip4,-1.9193373,-0.03377134,0.05494166850627258,0.08094386043737441
Slc12a2,-1.9332535,-0.15852748,0.05320497162667743,0.07859187812341367
Perp,-1.9343668,-1.5810022,0.053068039429183006,0.07845855257735852
Rorb,-1.9410467,-0.45105615,0.052252615992579,0.07732099250310326
Nppc,-1.9410467,-2.1609392,0.052252615992579,0.07732099250310326
Inf2,-1.9432733,-0.32385302,0.05198314742600072,0.07705791077875415
Gnb4,-1.9505098,-0.2831845,0.05111539048904572,0.075905451777461
Sebox,-1.9711059,-0.940932,0.04871176374084748,0.07246413703395098
Gpr37,-1.9955986,-0.15982938,0.04597763149145303,0.06845739462987825
Prss23,-1.9989386,-0.18038233,0.045615006392865545,0.06797768239929697
Lrrn1,-2.0145247,-0.102368996,0.043954465448478565,0.06561941067397199
Dpy19l3,-2.018978,-0.37136793,0.043489505860334156,0.06498298608997485
Qdpr,-2.0217612,-0.35287026,0.043201021264966256,0.06466688935566187
Grb14,-2.0423574,-0.18657008,0.041116092089670715,0.06160084741776869
